tool;type;value;source
Versioning Machine;description;"""The Versioning Machine is a framework and an interface for displaying multiple versions of text encoded according to the Text Encoding Initiative (TEI) Guidelines... While the VM provides for features typically found in critical editions, such as annotation and introductory material, it also takes advantage of the opportunities afforded by electronic publication to allow for the comparison diplomatic versions of witnesses, and the ability to easily compare an image of the manuscript with a diplomatic version""";BambooDirt
Virtual Lightbox for Museums and Archives;description;"""The Virtual Lightbox for Museums and Archives (VLMA) is an educational tool for collecting and reusing in a structured fashion the online contents of museums and archives with visual components. With VLMA, you can browse and search collections, construct personal collections, export these collections to xml or Impress presentation format, annotate them, and share your collections with other VLMA users.""";BambooDirt
WordFreak;description;"""WordFreak is a java-based linguistic annotation tool designed to support human, and automatic annotation of linguistic data as well as employ active-learning for human correction of automatically annotated data."" (text taken from http://wordfreak.sourceforge.net/)";BambooDirt
140kit;description;"140kit provides a management layer for tweet collection and analysis. 
Raw data cannot be passed through to the users, but any analytical process can be run across your dataset, and the data is held  for as long as the user wants. When new analytical processes are created, they can be run on existing sets of data. 140kit does not claim any control of the analysis, however it retains ownership of the data collected. 
Current limits:
User: 20,000 Tweets per Dataset or until Dataset time elapses
Academic User: 500,000 Tweets per Dataset or until Dataset time elapses";BambooDirt
TypeWright;developer;18th Connect;TERESAH
Adobe Illustrator;keyword;2d graphic design;TERESAH
Adobe InDesign;keyword;2d graphic design;TERESAH
Adobe Pagemaker;keyword;2d graphic design;TERESAH
Adobe Photoshop;keyword;2d graphic design;TERESAH
Mercury Amira;keyword;2d graphic design;TERESAH
OpendTect;keyword;2d graphic design;TERESAH
QuarkXPress;keyword;2d graphic design;TERESAH
QuarkXPress;keyword;2d graphic design;TERESAH
RivEx;keyword;2d graphic design;TERESAH
Adobe Illustrator;keyword;2d illustration;TERESAH
Adobe InDesign;keyword;2d illustration;TERESAH
Adobe Pagemaker;keyword;2d illustration;TERESAH
Adobe Photoshop;keyword;2d illustration;TERESAH
ArcExplorer;keyword;2d illustration;TERESAH
ERDAS Imagine;keyword;2d illustration;TERESAH
Mercury Amira;keyword;2d illustration;TERESAH
RivEx;keyword;2d illustration;TERESAH
Mercury Amira;keyword;2d imaging;TERESAH
Adobe Photoshop;keyword;2d modelling - raster;TERESAH
ArcExplorer;keyword;2d modelling - raster;TERESAH
ArcGis;keyword;2d modelling - raster;TERESAH
ERDAS Imagine;keyword;2d modelling - raster;TERESAH
Mercury Amira;keyword;2d modelling - raster;TERESAH
QuarkXPress;keyword;2d modelling - raster;TERESAH
RivEx;keyword;2d modelling - raster;TERESAH
Adobe Photoshop;keyword;2d modelling - vector;TERESAH
ArcExplorer;keyword;2d modelling - vector;TERESAH
ArcGis;keyword;2d modelling - vector;TERESAH
ERDAS Imagine;keyword;2d modelling - vector;TERESAH
Mercury Amira;keyword;2d modelling - vector;TERESAH
RivEx;keyword;2d modelling - vector;TERESAH
ABBYY Fine Reader;keyword;2d scanning;TERESAH
OmniPage;keyword;2d scanning;TERESAH
ABBYY Fine Reader;keyword;2d scanning and photography;TERESAH
Adobe Photoshop;keyword;2d scanning and photography;TERESAH
GIMP: GNU Image Manipulation Program;keyword;2d scanning and photography;TERESAH
GIMP: GNU Image Manipulation Program;keyword;2d Scanning and photography;TERESAH
Mercury Amira;keyword;2d scanning and photography;TERESAH
OmniPage;keyword;2d scanning and photography;TERESAH
Writeboard;developer;37signals;TERESAH
3DVIA Virtools;keyword;3D;TERESAH
Google Earth;keyword;3D;TERESAH
Mercury Amira;keyword;3d data capture;TERESAH
Adobe After Effects;keyword;3d graphic design;TERESAH
Adobe Photoshop;keyword;3d graphic design;TERESAH
Mercury Amira;keyword;3d graphic design;TERESAH
OpendTect;keyword;3d graphic design;TERESAH
RivEx;keyword;3d graphic design;TERESAH
Mercury Amira;keyword;3d imaging;TERESAH
TurnTool;keyword;3D model;TERESAH
Google 3D Warehouse;keyword;3D modeling;TERESAH
Google SketchUp;keyword;3D modeling;TERESAH
3DVIA Virtools;keyword;3d modelling - interactive;TERESAH
3DVIA Virtools;keyword;3d modelling - interactive;TERESAH
Adobe Photoshop;keyword;3d modelling - interactive;TERESAH
ArcExplorer;keyword;3d modelling - interactive;TERESAH
ArcGis;keyword;3d modelling - interactive;TERESAH
ERDAS Imagine;keyword;3d modelling - interactive;TERESAH
Mercury Amira;keyword;3d modelling - interactive;TERESAH
RivEx;keyword;3d modelling - interactive;TERESAH
3DVIA Virtools;keyword;3d modelling - vector;TERESAH
Adobe Photoshop;keyword;3d modelling - vector;TERESAH
Adobe Photoshop;keyword;3d modelling - vector;TERESAH
ArcExplorer;keyword;3d modelling - vector;TERESAH
ArcExplorer;keyword;3d modelling - vector;TERESAH
ArcGis;keyword;3d modelling - vector;TERESAH
ArcGis;keyword;3d modelling - vector;TERESAH
ERDAS Imagine;keyword;3d modelling - vector;TERESAH
ERDAS Imagine;keyword;3d modelling - vector;TERESAH
Mercury Amira;keyword;3d modelling - vector;TERESAH
Mercury Amira;keyword;3d modelling - vector;TERESAH
RivEx;keyword;3d modelling - vector;TERESAH
RivEx;keyword;3d modelling - vector;TERESAH
TurnTool;keyword;3d modelling - vector;TERESAH
TurnTool;keyword;3D object;TERESAH
Adobe Photoshop;keyword;3d scanning;TERESAH
Mercury Amira;keyword;3d scanning;TERESAH
3DVIA Virtools;keyword;3D XML;TERESAH
3DVIA Virtools;keyword;3ds Max;TERESAH
960 Grid System;description;960 Grid System is a CSS template that comes with corresponding Acorn, Fireworks, Flash, InDesign, GIMP, Inkscape, Illustrator, OmniGraffle, Photoshop, QuarkXPress, Visio, Exp Design, and printable templates to facilitate different stages of the web design process.;BambooDirt
WordPress;description;A blog publication system that may be used for basic content management. WordPress is widely used within the arts and humanities community. It offers a template and theme management system, which can be used by administrators to configure their blog without the need to edit PHP or HTML code. A plug-in architecture enables developers and users to expend functionality beyond that provided in the base installation. In its current iteration, WordPress supports only one weblog per installation, although multiple concurrent copies may be run from different directories if configured to use separate database tables. Source code forks, such as WordPress Multi-User (WPMU) allow multiple blogs to exist within a single installation.;ArtsHumanities
Snipshot;description;A browser bookmarklet that-- when used-- allows a user to select any of the images on the page to edit (basic color enhancement, cropping, etc.). Allows users to save the resulting image in a variety of formats, or email the image.;BambooDirt
Google fusion tables ;description;"A cloud-based data service which can produce data visualisation from data tables that have been uploaded: maps, charts and timelines of various types. These can be embedded into web pages and will update automatically when the data is updated (this can be managed with the Fusion Tables API). Also available from Google Docs under ""Data"" (currently beta) - presumably this will migrate to Google Drive, which is pending at the time of writing.";HistoryOnline
Google 3D Warehouse;description;A collection of free-to-download 3D models that have been designed using Google SketchUp.;BambooDirt
sgrep;description;A command-line tool for querying structured data such as XML. Complex patterns can be saved as aliases, and complex searches can derive, for example, the contents of particular XML elements in various configurations. There is a full help document, which assumes a knowledge of command line arguments and syntax, but this tool seems not to have been in development for many years. Some of the syntax works better on Unix-based systems than Windows.;HistoryOnline
oXygen XML editor;description;"A cross-platform XML editor that may be used to create and validate XML documents and associated schema. It fully supports XSL (both XSLT and FO), DTD, Schema (Relax RNG and W3C), Database, XQuery and CSS. 
Frequently updated and supported, and with a very large set of features, this software tool has proved popular with digital humanists.";BambooDirt
oXygen XML editor;description;A cross-platform XML editor that may be used to create and validate XML documents and associated schema. It fully supports XSL (both XSLT and FO), DTD, Schema (Relax RNG and W3C), Database, XQuery, XHTML and CSS.;ArtsHumanities
ToadHMS;description;A data management tool for the storage and presentation of text, images and spatial data. It has been built upon the principles of the world wide web, enabling researchers to configure the system, input or upload new content, manipulate existing content and make it available access through a web browser. ToadHMS (The Oxford ArchDigital Heritage Management System) was developed in PHP and can be integrated with a number of database back-end systems, including MySQL and SQL Server. It uses open source tools, such as ImageMagick to automate data management tasks.;ArtsHumanities
Asset Bank;description;A digital asset management system for the storage, management and delivery of raster images, audiovisual content, documents and other resources. The software provides limited eCommerce functionality for use by institutions that wish to use the system to sell digital products. It may be installed in-house on a Windows/Linux/Unix system or hosted on a system operated by the developers.;ArtsHumanities
Asset Bank;description;"A digital asset management system for the storage, management and delivery of raster images, audiovisual content, documents and other resources. The software provides limited eCommerce functionality for use by institutions that wish to use the system to sell digital products. It may be installed in-house on a Windows/Linux/Unix system or hosted on a system operated by the developers.

Features: 
Image versioning
 
User-driven rating system
 
Automatic generation of thumbnails and preview images
 
Metadata batch edit
 
Date validation
 
Metadata import in XML or other delimited formats";BambooDirt
EPrints.org;description;A digital repository software package that may be used to accept, manage and publish digital objects. It is widely used in academia as a system to manage academic research papers, electronic theses and other distinct digital resources. EPrints offers an extensible plug-in architecture, enabling data processing activities to be tailored to the requirements of the institution.;ArtsHumanities
Gamera;description;"A free (under the GNU General Public License) toolkit for the development of document image recognition systems.
Features: 
Custom dictionaries may be created to assist with analysis of specific record types
Extensible functionality
Optical character recognition (OCR) toolkit plugin";BambooDirt
MindMup;description;A free browser-based brainstorming tool that lets you create visually interesting mind maps quickly and intuitively. Similar to other mind-mapping or brainstorming tools (ex. Bubbl.us and FreeMind), MindMup has lots of options for embedding,sharing, or saving maps. Maps can be saved to Google Drive or to MindMup. Includes extensions to allow users to collaborate on maps in real time.;BambooDirt
Textal;description;A free iOS app for text analysis. Textal allows you to analyze documents, tweet streams, and webpages. Create clickable text clouds based on the source data that you choose. It comes pre-loaded with a large number of public domain texts. Text clouds are easily shareable via various Twitter and email.;BambooDirt
Screencast-o-matic;description;A free Java-based online application which allows you to create recordings of your desktop.;BambooDirt
Tackk;description;A free service that makes publishing content on the web as easy as writing an email.;BambooDirt
Proxémie;description;A French-developed Java application that displays the lexical relations of a word in a 3D environment.;BambooDirt
Python;description;A general-purpose high-level programming language that places an emphasis upon code readability. Python supports a number of development models, including object oriented, imperative, and functional design. It provides automatic memory management and a fully dynamic type system.;ArtsHumanities
Python;description;"A general-purpose high-level programming language that places an emphasis upon code readability. Python supports a number of development models, including object oriented, imperative, and functional design. It provides automatic memory management and a fully dynamic type system.
Features: 
Very clear, readable syntax
Strong introspection capabilities
Intuitive object orientation
Natural expression of procedural code
Full modularity, supporting hierarchical packages
Exception-based error handling
Very high level dynamic data types
Extensive standard libraries and third party modules for virtually every task
Extensions and modules easily written in C, C++ (or Java for Jython, or .NET languages for IronPython)
Embeddable within applications as a scripting interface";BambooDirt
GeoNames;description;A global geographical database that may be used to identify, tag and disambiguate all references to location. The database contains over 8 million entries, each of which possesses a geographic name (in various languages), latitude, longitude, elevation, population, administrative subdivision and postal codes and information on unique features.;ArtsHumanities
Topic Modeling Tool;description;A graphical user interface tool for Latent Dirichlet Allocation topic modeling.;BambooDirt
ABBYY Fine Reader;description;A highly intelligent OCR (optical character recognition) software for creating editable and searchable electronic files from scanned paper documents, PDFs and digital photographs.;ArtsHumanities
GIMP: GNU Image Manipulation Program;description;A multi-platform software application primarily used for image composition and editing. The basic tool may be augmented by plug-ins and extensions that allow the use of new file formats, effects filters and batch processing capabilities. GIMP was initially created to manipulate raster images, but has been extended to provide limited vector image and moving image support.;ArtsHumanities
Pycoon;description;A Python-based XML web publishing framework which enables dynamic pipelining of XSLT transformations. Data is processed by an XML pipeline composed of several WSGI applications and middleware components.;ArtsHumanities
Pycoon;description;"A Python-based XML web publishing framework which enables dynamic pipelining of XSLT transformations. Data is processed by an XML pipeline composed of several WSGI applications and middleware components.
Features: 
Apache Cocoon Sitemap 1.0 compatible
WSGI modularity
URI pattern matching";BambooDirt
SQL Server;description;"A server-side software application that enables databases conformant to a relational data model to be created, managed and queried. Information, most commonly text may be stored as one or more records contained within a table. The table may exist in isolation or have some relationship to other tables. Information may be manipulated using a set of T-SQL or ANSI SQL commands. Several editions of SQL Server are available, including SQL Server Compact, Developer, Embedded, Enterprise, Evaluation, Express and Fast Track.

Features: 
Service Broker
  
Replication Services using transaction, merge, or snapshot replication
 
Analysis functionality to perform data mining, OLAP and other services
 
Report generation services";BambooDirt
SQL Server;description;A server-side software application that enables databases conformant to a relational data model to be created, managed and queried. Information, most commonly text may be stored as one or more records contained within a table. The table may exist in isolation or have some relationship to other tables. Information may be manipulated using a set of T-SQL or ANSI SQL commands. Several editions of SQL Server are available, including SQL Server Compact, Developer, Embedded, Enterprise, Evaluation, Express and Fast Track.;ArtsHumanities
Analyse-it;description;A set of dataset management and statistical tests plugins for Excel '97 and 2010 including single and multiple linear regression, polynomial regression, and scatter plot with fit, fit confidence and prediction bands.;BambooDirt
Legend Maker;description;A simple and easy tool for creating EPUB, MOBI, and other ebook formats.;BambooDirt
Vapour;description;A simple URI validator, Vapour will check whether a URI follows current best practice for linked data URIs. Users enter a URI and validate it manually. The source code is available from Bitbucket under a W3C licence.;HistoryOnline
Mozilla Thimble;description;A simple web-based HTML and CSS editor geared toward beginners. Thimble splits your window into two panes - one is the editor and the other displays a preview of your work. Includes tutorial projects for learning to code. Offers option for webpages to be published by thimble.webmaker.org.;BambooDirt
Wordle;description;A simple word cloud generator with customizable font and color options.;BambooDirt
OpendTect;description;A software application for analysing and visualising multi-volume seismic data. OpendTect may be used to analyse 2D, 3D and 4D pre- and post-stack seismic data.;ArtsHumanities
ArcView;description;A software application for creating, manipulating and analysing GIS (Geographic Information System) data. ArcView may be used to create geographic maps, manipulate spatial features, analyse attributes and characteristics, and visualise spatial information in an understandable form. Current versions of the software enable the user to import and manipulate several content types in a spatial environment, including demographic information, CAD designs, still images and other types of content.;ArtsHumanities
SoundScriber;description;A software application for the playback of audio recordings. SoundScriber offers specific functionality for researchers that wish to transcribe a recording. It was originally developed for use in the Michigan Corpus of Academic Spoken English (MICASE) project and released for use by academics performing similar work.;ArtsHumanities
SoundScriber;description;"A software application for the playback of audio recordings. SoundScriber offers specific functionality for researchers that wish to transcribe a recording. It was originally developed for use in the Michigan Corpus of Academic Spoken English (MICASE) project and released for use by academics performing similar work.

Features: 
Audio playback via installed audio codecs (e.g. Wav, MP3)
 
Variable speed playback
 
'Walking' support “ playback of a small stretch of an audio stream several times to ensure accurate transcription is made, followed by an advancement to a new section of audio.";BambooDirt
Archeosurveyor;description;A software application for the transfer, assembly and enhancement of geophysical data obtained from gradiometers, resistivity meters and other monitoring instruments.;ArtsHumanities
Archeosurveyor;description;A software application for the transfer, assembly and enhancement of geophysical data obtained from gradiometers, resistivity meters and other monitoring instruments. With support for Geoplot, GSSI Profiler, Surfer (ASCII & binary) and Scintrex input formats;BambooDirt
OxCal;description;A software application that enables a user to perform radiocarbon calibration and analysis of archaeological and environmental chronological information. It may be used to calculate the probable age ranges of scientifically dated samples through radiocarbon calibration, sapwood estimates and other methods. It is possible to establish age by measuring the rate of decay of the radioactive isotope 14C - a naturally occurring ubiquitous entity found in all life-forms.;ArtsHumanities
Anastasia;description;"A software application that enables a user to search, manipulate and publish large SGML/XML documents. Anastasia was developed within an academic context to enable the manipulation of a single, large mark-up documents or a set of documents. It utilises two methods to interpret the structure of a mark-up document: First, it uses pattern-matching algorithms to process a hierarchical tree, similar to other XML software applications; Second, it interprets the document structure as a series of sequential 'events' which must be processed. The latter method, it is indicated, enables the application to perform processing activities that are difficult or impossible using the tradition approach. For example, it is able to build a view of textual content across element divisions and in different types of hiearchical structure.
Features: 
Pattern-matching algorithms to process a hierarchical tree
Event-driven analysis to manipulate information stored across element boundaries and contained in semi-structured or unstructured text mark-up";BambooDirt
Anastasia;description;"A software application that enables a user to search, manipulate and publish large SGML/XML documents. Anastasia was developed within an academic context to enable the manipulation of a single, large mark-up documents or a set of documents. It utilises two methods to interpret the structure of a mark-up document: First, it uses pattern-matching algorithms to process a hierarchical tree, similar to other XML software applications; Second, it interprets the document structure as a series of sequential 'events' which must be processed. The latter method, it is indicated, enables the application to perform processing activities that are difficult or impossible using the tradition approach. For example, it is able to build a view of textual content across element divisions and in different types of hiearchical structure.";ArtsHumanities
MySQL;description;A software application that enables relational databases to be created, managed and queried. The database management system enables multiple users to access a database through an appropriate interface. As an open source tool, MySQL underpins a number of free software projects, such as WordPress, phpBB and other software built on a LAMP infrastructure. Although widely used, there are a number of performance issues that limit its use in some environments. For example, it is unable to use multiple CPU cores to process a single query, potentially limiting its use as a data warehouse.;ArtsHumanities
MySQL;description;"A software application that enables relational databases to be created, managed and queried. The database management system enables multiple users to access a database through an appropriate interface. As an open source tool, MySQL underpins a number of free software projects, such as WordPress, phpBB and other software built on a LAMP infrastructure. Although widely used, there are a number of performance issues that limit its use in some environments. For example, it is unable to use multiple CPU cores to process a single query, potentially limiting its use as a data warehouse.
Features: 
X/Open XA distributed transaction processing (DTP) support
Connector/ODBC enables connection to a MySQL server using the Open Database Connectivity (ODBC) API
Connector/NET enables developers to create .NET applications that use data stored in a MySQL database";BambooDirt
OpendTect;description;"A software application that is used for analysing and visualising multi-volume seismic data.

Features: 
Visualization and analysis of 2D and 3D seismic data in a single survey
 
2D and 3D horizon tracking including auto-tracking, plane-by-plane, line and manual tracking
 
On-the-fly calculation and visualization of various attributes and filters
 
Plug-in architecture";BambooDirt
Praat;description;A software application that may be used to analyse, synthesise, and manipulate speech in phonetics, and create visual representations of the audio recording.;ArtsHumanities
NVivo;description;A software application that may be used to perform qualitative analysis upon varying types of unstructured and semi-structured data. NVivo enables users to combine and analyse disparate information content, identifying relationships or trends that may not be immediately obvious when handling each item individually. It is used in a variety of academic fields to perform  network and organizational analysis, action or evidence-based research, discourse analysis, grounded theory, conversation analysis, ethnography, literature reviews, phenomenology and mixed methods research.;ArtsHumanities
XMetal;description;A software application used for creating and editing documents in XML and SGML.;ArtsHumanities
ImageMagik;description;A software suite for displaying, converting and editing still images stored in a raster image format. Image manipulation may be performed via the command line, API libraries, or through a simply graphical user interface.;ArtsHumanities
ImageMagik;description;"A software suite for displaying, converting and editing still images stored in a raster image format. Image manipulation may be performed via the command line, API libraries, or through a simply graphical user interface.
Features: 
Software control through API and command line
Format conversion
image transformation
transparency support
Format identification
Text to image conversion";BambooDirt
OmniPage;description;"A software tool capable of performing Optical Character Recognition (OCR) upon a set of images. It achieves the task by analysing pixel sets and in an image and cross-matching them to a dictionary of words. Omnipage automates large sections of the digitisation process enabling physical objects to be scanned, processed using the OCR software and exported to a document file format. Later versions of the software incorporate image enhancement features to improve scan quality (and recognition results) and better support for complex page layouts and forms.

Features: 
Integration with scanning software
 
Maintain layout of captured document";BambooDirt
OmniPage;description;A software tool capable of performing Optical Character Recognition (OCR) upon a set of images. It achieves the task by analysing pixel sets and in an image and cross-matching them to a dictionary of words. Omnipage automates large sections of the digitisation process enabling physical objects to be scanned, processed using the OCR software and exported to a document file format. Later versions of the software incorporate image enhancement features to improve scan quality (and recognition results) and better support for complex page layouts and forms.;ArtsHumanities
Audacity;description;A software tool for capturing and manipulating audio recordings. Audacity may be used to import or record audio streams and subsequently edit aspects of its composition.;ArtsHumanities
Concordance;description;A software tool for performing concordance “ the analysis of a set of words within its immediate context - on a body of text. The tool performs full concordance, reading and analysing each and every word in a text. It was initially written for the analysis of English texts, but has since been extended to cater for other Western languages. Limited support is also provided for text in East Asian scripts, such as Chinese and Korean.;ArtsHumanities
CLAWS Tagger;description;A software tool for performing Parts-of-Speech (POS) tagging - the classification of words into one or more categories based upon its definition, relationship with other words, or other context - on a body of text. CLAWS (Constituent Likelihood Automatic Word-tagging System) uses several methods to identify parts of speech, most notably a system called Hidden Markov models (HMMs) which involve counting cases and making a table of the probabilities of certain sequences of words. For example, if an article and verb appear together, the next word is more likely to be a preposition, article, or noun, rather than another verb.;ArtsHumanities
3DVIA Virtools;description;A software tool for the creation of 3D interactive environments. It may be used to model and interact with physical objects that currently or have previously existed in the real world, or create virtual environments that have not previously encountered. VirTool player software is available for Microsoft Windows, Apple MacOS X, Nintendo Wii and Microsoft Xbox 360.;BambooDirt
3DVIA Virtools;description;A software tool for the creation of 3D interactive environments. It may be used to model and interact with physical objects that currently or have previously existed in the real world, or create virtual environments that have not previously encountered. VirTool player software is available for Microsoft Windows, Apple MacOS X, Nintendo Wii and Microsoft Xbox 360.;ArtsHumanities
Wavesurfer;description;A software tool for the manipulation of audio recordings. Wavesurfer provides basic audio editing function, such as excision, copying, pasting, zero-crossing adjustment, and effects such as fading, normalization, echo, inversion, reversal, replacement with silence, and DC-removal.;ArtsHumanities
Wavesurfer;description;"A software tool for the manipulation of audio recordings. Wavesurfer provides basic audio editing function, such as excision, copying, pasting, zero-crossing adjustment, and effects such as fading, normalization, echo, inversion, reversal, replacement with silence, and DC-removal.
Features: 
Audio format support, including WAV, AU, AIFF, MP3, CSL, SD, Ogg/Vorbis, and NIST/Sphere
Read/write support for HTK (and MLF), TIMIT, ESPS/Waves+, and Phondat transcription formats
Direct-to-disk playback/recording enabling use of audio recordings larger than available memory
Plug-in architecture
built-in script interpreter";BambooDirt
Collin´s Parser;description;A statistical natural language parser capable of analysing a text to determine its grammatical structure.;ArtsHumanities
Pie-Slice;description;"A statistical package that may be used to compare quantified assemblages of broken and incomplete objects, such as ceramics, glass and bones. Pie-Slice uses Estimated Vessel Equivalent (EVE) as a base form of measurement, in which each measurable fraction is scored as a fraction of a complete vessel. It also trials the use of a new statistical transformation - the pseudo-count transformation - which converts EVEs into Pottery Information Equivalents (PIEs). The latter enables assemblages to be compared using techniques such as log-linear and correspondence analyses. The resultant output is visualised through the use of GNUPlot.
Features: 
User-defined variables that may be tailored to specifics of the object being described
Visual depiction of the relationship between assemblage variables (e.g. pottery forms), which may be used to evaluate their statistical significance";BambooDirt
Pie-Slice;description;A statistical package that may be used to compare quantified assemblages of broken and incomplete objects, such as ceramics, glass and bones. Pie-Slice uses Estimated Vessel Equivalent (EVE) as a base form of measurement, in which each measurable fraction is scored as a fraction of a complete vessel. It also trials the use of a new statistical transformation - the pseudo-count transformation - which converts EVEs into Pottery Information Equivalents (PIEs).  The latter enables assemblages to be compared using techniques such as log-linear and correspondence analyses. The resultant output is visualised through the use of GNUPlot.;ArtsHumanities
epcEdit;description;A structured text editor that may be used to create, edit, validate and convert XML and SGML documents. EpcEdit contains an integrated validating parser, an editor for CALS and HTML tables, an attribute editor and an element manipulation tool.;ArtsHumanities
Zoomify;description;A suite of products developed for web designers that may be used to convert large images into a form that can be zoomed and panned. Zoomify enables large images to be viewed and manipulated, without an increase in server load or download time. It convert large images stored in raster formats (e.g. TIFF, JPEG) into a set of pieces or 'tiles' The individual pieces contain sub-sections of the image at different resolutions or levels of zoom, which are combined to create a type of mosaic.;ArtsHumanities
Zoomify;description;"A suite of products developed for web designers that may be used to convert large images into a form that can be zoomed and panned. Zoomify enables large images to be viewed and manipulated, without an increase in server load or download time. It converts large images stored in raster formats (e.g. TIFF, JPEG) into a set of pieces or 'tiles' The individual pieces contain sub-sections of the image at different resolutions or levels of zoom, which are combined to create a type of mosaic.
Features: 
Enables access to high quality still images without an increase in server load";BambooDirt
RDB2Java;description;A suite of software components designed to support the development of interfaces between web applications on J2EE systems.;ArtsHumanities
ArcGis;description;A system for collecting, visualising and analysing geographical information, including the creation of maps and mapping applications. Multiple data types can be imported, provided they are geographical. Â Cloud-based and desktop (Windows only) interfaces are available.Â Some functionality is available to a free, non-commercial account, but full functionality requires an organizational licence, see:Â http://www.esri.com/software/arcgis/arcgisonline/features/comparison-table.Â A free trial of the full product is available.;HistoryOnline
BBEdit;description;A text editor designed for use by software developers and web designers. BBEdit provides native support for several programming and scripting languages. Third party custom modules are available, created by users, to handle languages that are not supported in the native application.;ArtsHumanities
BBEdit;description;"A text editor designed for use by software developers and web designers. BBEdit provides native support for several programming and scripting languages. Third party custom modules are available, created by users, to handle languages that are not supported in the native application.
Features: 
Multi-file text searching
Scripting
Syntax highlighting for ANSI C, C++, CSS, Fortran (through Fortran 95), HTML, Java, JavaScript, JSP, Object Pascal, Objective-C, Objective-C++, Perl, PHP, Python, Rez, Ruby, Setext, SQL,  Tcl, Tex, UNIX shell scripts, XML and YAML";BambooDirt
xMod;description;"A tool capable of transforming a collection of TEI encoded XML records into a web site. To perform the process, the tool requires a set of valid XML files, a configuration script that indicates the relationship between files and a ""personality packâ€™ (CSS and image files) that determine its visual appearance.
Features:
Batch file processing
Modular XSLT structure, with special libraries for different transformation scenarios
Ability to group files for generation of indices at document and intra-document level";BambooDirt
xMod;description;"A tool capable of transforming a collection of TEI encoded XML records into a web site. To perform the process, the tool requires a set of valid XML files, a configuration script that indicates the relationship between files and a ""personality packâ€™ (CSS and image files) that determine its visual appearance.";ArtsHumanities
Gamera;description;A toolkit for use in the creation of document recognition applications. It may be used by developers to create image processing and recognition tools that are tailored to the requirements of specific communities and subject domains.;ArtsHumanities
IBM Many Eyes;description;A variety of visualisation tools are available for use with existing datasets, or upload your own.;BambooDirt
Indexhibit;description;A web application used to build and maintain an archetypal, invisible website format that combines text, image, movie and sound.;BambooDirt
Adobe Dreamweaver;description;"A web content editing tool, Dreamweaver offers a graphics-based WYSIWYG (What You See Is What You GET pronounced wizzywig) and code-based user interface for the development of web pages and sites. The tool may be used to simplify the process of web site development (in comparison to creation of individual web pages), through the provision of a templating system that allows single-source update of shared code and layout across entire sites without server-side includes or scripting.

Features: 
WYSIWYG
  
Code hinting for Ajax and JavaScript frameworks
  
Subversion integration
  
FTP/SFTP support
  
WebDav support
  
Web site template system
  
Adobe Spry AJAX framework support";BambooDirt
Google Drive;description;A web-based cloud storage service where files saved in the Drive folder are automatically synced to all of your other devices (ie desktop, laptop, mobile) with Drive. Offers free and paid accounts - the free account comes with 5GB of space. Drive is also the new platform for Google Docs.;BambooDirt
Drupal;description;A web-based Content Management System that is commonly used as a back-end system for resources of many different types and size, including blogs, web portals, discussion sites and web sites. The standard 'core' release of Drupal offers functionality such as user account administration, permissions system, RSS feed support, and customisable page layout. Plug-ins and other extensions may be developed or adopted to provide new functionality.;ArtsHumanities
